,reference,latitude,longitude,date,year,description,hostility,victim,navArea,subreg
3077,2011-391,-4.783333,44.583333,2011-09-20,2011,"INDIAN OCEAN:  General cargo ship (PACIFIC EXPRESS) boarded by two skiffs with six pirates each, armed with guns and an RPG, on 20 September at 0734 UTC while underway in position 04-47S  044-35E carrying a cargo of steel, approximately 298NM southeast of Mombasa, Kenya. The vessel's crew consisted of 25 Filipinos and one Ukrainian. Pirates boarded the vessel and set fire to it after the crew retreated to the citadel. A coalition warship rescued the crew; however, the ship was lost. (IMB, UKMTO, Operator)",PIRATES,CARGO SHIP,VIII,61
3078,2011-388,-3.91,41.078333,2011-09-17,2011,"INDIAN OCEAN:  General cargo ship (AN NING JIANG) fired upon by six pirates with AK-47s in one skiff on 17 September at 1035 UTC while underway in position 03-54.6S  041-04.7E, approximately 86NM northeast of Mombasa, Kenya. A bright white skiff approached the vessel, the crew retreated into the citadel, and the security guards onboard exchanged fire with the pirates for about 45 seconds before the skiff aborted the attack. (IMB, UKMTO)",PIRATES,CARGO SHIP,VIII,61
3079,2011-389,6.061667,1.291667,2011-09-16,2011,"TOGO:  Bulk carrier experienced an attempted boarding on 16 September at 0340 LT while anchored in position 06-03.7N  001-17.5E at the Lome Anchorage. Seven robbers in a  fast boat approached the vessel, one of the robbers had a hook attached to a rope. The duty crew spotted the robbers, contacted the bridge, and informed another watchman. Master raised the alarm, sounded the ship's horn, and the crew directed search lights. The pirates aborted the attack upon seeing the alerted crew. The Togo Navy was contacted but did not respond; later, a naval boat patrolled the area. (IMB)",PIRATES,BULK CARRIER,II,57
3080,2011-386,22.269167,91.819722,2011-09-15,2011,"BANGLADESH:  Chemical tanker boarded and robbed 15 September at 2045 LT while berthed in position 22-16.15N  091-49.19E at the Super Oil Refinery Terminal, Chittagong, Bangladesh. Two robbers with long knives boarded the vessel, held the duty watchman hostage after he tried to stop them, stole ship's stores, and escaped in a wooden fast craft. (IMB)",PIRATES,CHEMICAL TANKER,VIII,63
3081,2011-385,12.591667,43.425,2011-09-15,2011,"SOUTHERN RED SEA, GULF OF ADEN:  Armed pirates in four skiffs approached a bulk carrier underway, two from the port side and two from the stbd side. Master raised alarm, took evasive maneuvers and the onboard security team fired warning shots resulting in the pirates aborting the attack. Crew and vessel safe.",PIRATES,MERCHANT VESSEL,IX,62
3082,2011-390,6.011667,1.326667,2011-09-14,2011,"LOME ANCHORAGE, TOGO:  Six suspected robbers in a boat approached an anchored product tanker and attempted to climb onboard. Master raised the alarm, mustered all crew and contacted local authorities on VHF ch 16. Seeing crew alertness the robbers aborted the attempt. Later a naval patrol boat arrived on location and after a search were able to apprehend the suspected robbers.",PIRATES,PRODUCT TANKER,II,57
3083,2011-382,6.366667,2.433333,2011-09-14,2011,"COTONOU, BENIN:  Armed pirates boarded a prodcut tanker during STS operations. Master sent SSAS alert, crew locked in engine room and contacted CSO. Later pirates left the vessel. Crew came out of the engine room and conducted a search for the pirates and found the vessel safe. The crew regained control of the vessel.",PIRATES,TANKER,II,57
3084,2011-380,6.023056,1.305,2011-09-14,2011,"TOGO:  Chemical tanker experienced an attempted boarding 14 September at 0415 UTC  while anchored in position 06-01.39N 001-18.30E, approximately 8NM southeast of Lome  break water, Togo. About 26 robbers in two boats attempted to board the vessel, a portable ladder and ropes were seen in both boats. The master raised the alarm, mustered the crew, contacted local authorities on VHF channel 16, and left anchor. After the crew alerted, the robbers aborted the attempt. The master reported that the same robbers had attempted to board another vessel eight cables from his vessel's position prior to the attack on his vessel, no further information. (IMB)",PIRATES,CHEMICAL TANKER,II,57
3085,2011-384,14.1,42.75,2011-09-10,2011,SOUTHERN RED SEA:  Merchant vessel attacked in 14-06N 042-45E at 0627Z on 10 Sep. Vessels are advised to keep 100 miles clear of this position and to exercise extreme caution.,PIRATES,MERCHANT VESSEL,IX,62
3086,2011-381,14.066667,42.85,2011-09-10,2011,"RED SEA:  Six pirates in one skiff chased and fried upon a tanker underway. Another two skiffs were seen at a slight distance. The Master and all crew gathered on the brdige, sent a May Day via VHF, increased speed, activated SSAS, contacted CSO, made evasvie maneuvers and locked all access to the ship. All crew except Master and Chief engineer entered into the engine room. When pirates boarded the vessel the Master and Cheng retreated into the engine room. A naval helicopter responded to the distress and arrived on location. A boarding team arrived and searched the vessel before releasing the crew. Later ship's crew took control of the tanker and continued passage.",PIRATES,TANKER,IX,62
3087,2011-387,1.063889,103.510556,2011-09-09,2011,"TEBING ISLAND, INDONESIA:  Three robbers in a wooden boat boarded a chemical tanker at anchor via the stern. Duty A/B spotted the robbers and raised the alarm. Seeing the crew alertness the robbers jumped overboard and escaped. Master reported to local authorities and they conducted an investigation.",PIRATES,CHEMICAL TANKER,XI,71
3088,2011-383,1.666667,101.45,2011-09-09,2011,"DUMAI INNER ANCHORAGE, INDONESIA:  Six robbers armed with knives in a boat approached an anchored chemical tanker. Three of the robbers boarded the tanker from the stern. They threatened the duty AB on deck. Duty officer on bridge raised the alarm upon sighting the robbers. Robbers managed to escape with stolen ship's property. The master made several attemptes to contact the port authorities but received no response.",PIRATES,CHEMICAL TANKER,XI,71
3089,2011-379,15.45,52.233333,2011-09-08,2011,"GULF OF ADEN:  A oil tanker (MT FAIRCHEM BOGEY) came under attack at 1317z on 08 Sep in position 15-27N 052-14E, approximately 8 miles off the coast of Yemen. The tanker had armed guards on board when she sailed through the Gulf of Aden on its way to unload at the Saudi port of Al Jubai, but was unprotected when she was taken by armed pirates after dropping the security team off in Oman. Pirates waited for armed guards to depart, approached the tanker in a vessel ferrying cattle.",PIRATES,OIL TANKER,IX,62
3090,2011-377,1.124167,103.595833,2011-09-08,2011,"NIPAH ISLAND, INDONESIA:  Four robbers armed with long knives boarded a tanker carrying out STS operations, the robbers entered the engine room and were spotted by the duty oiler who raised the alarm. All crew mustered in the CCR and contacted CSO and local authorities. Later navy personel boarded the vessel to carry out a search.",PIRATES,TANKER,XI,71
3091,2011-371,12.504167,43.872778,2011-08-29,2011,"GULF OF ADEN:  Five pirates armed with guns in two skiffs approached a chemical tanker underway. Master raised alarm, gave one long blast and crew mustered at a safe place. When the skiffs came close to 15 meters from the tanker, the onboard security team fired warning shots resulting in the pirates aborting the attack.",PIRATES,CHEMICAL TANKER,IX,62
3092,2011-372,-1.46,116.81,2011-08-27,2011,"INDONESIA:  Tanker was robbed 27 August at 0600 UTC while anchored in position  01-27.6S  116-48.6E, in the Lawe-Lawe anchorage, Balikpapan. Six to seven robbers with  long knives in a motor boat boarded the vessel, took the duty watchman hostage and tied him up, stole ship's stores and properties, and escaped. Master received no response after attempting to contact port authorities. (IMB)",PIRATES,TANKER,XI,72
3093,2011-378,10.175278,-64.7675,2011-08-26,2011,"JOSE PORT ANCHORAGE, VENEZUELA:  Two skiffs with 11-12 robbers approached a bulk carrier at anchor. Crew alerted armed security guards onboard who opened fire resulting in the robbers moving away.",PIRATES,BULK CARRIER,IV,24
3094,2011-376,1.416667,104.483333,2011-08-26,2011,"SINGAPORE:  Petroleum product tanker (VALIANT) was robbed 26 August at 0225 LT while underway in position 01-25N  104-29E, approximately 38NM northeast of Singapore. Seven to nine robbers boarded the vessel and left after stealing some shipboard equipment and the crew's personal belongings. The crew was not injured. When the Singapore Police Coast Guard (PCG) arrived and boarded the vessel the robbers had already left. (ReCaap)",PIRATES,TANKER,XI,71
3095,2011-373,14.606667,42.365,2011-08-24,2011,"SOUTHERN RED SEA:  Two skiffs with five pirates in each approached a bulk carrier underway. The vessel increased speed, made evasive maneuvers and crew entered the citadel. The onboard security guards enforced anti-piracy measures and prevented the boarding. Crew and vessel safe.",PIRATES,BULK CARRIER,IX,62
3096,2011-366,13.133333,49.183333,2011-08-23,2011,"GULF OF ADEN:  Five armed pirates in a white colored skiff chased and fired upon a container ship underway. Master raised alarm, increased speed, took evasive maneuvers and contacted warship for assistance. Pirates aborted after chaseing the ship for 20 minutes.",PIRATES,CONTAINER SHIP,IX,62
3097,2011-375,-4.75,11.761667,2011-08-22,2011,"POINTE NOIRE ANCHORAGE, CONGO:  Robbers boarded a anchored container ship, stole ship's properties and escaped unnoticed by the crew.",PIRATES,CONTAINER SHIP,II,57
3098,2011-367,16.15,53.6,2011-08-21,2011,"GULF OF ADEN:  Pirates in a skiff chased and fired upon a chemical tanker underway. Master raised alarm, increased speed and took evasive maneuvers. The pirates made several attempts to board the tanker and finally aborted the attack due to the evasive maneuvers made by the tanker. A mother vessel was sighted in the vicinity.",PIRATES,CHEMICAL TANKER,IX,62
3099,2011-370,3.788333,98.701667,2011-08-20,2011,"BELAWAN PORT, INDONESIA:  Two robbers boarded a berthed bulk carrier during cargo operations. Four crew members on security watch and the 2nd officer at the gangway rushed to the poop deck upon hearing a loud knocking sound. The 2nd officer saw the robbers with a big heavy black bag and he tried to stop them. The robbers pushed the officer and threw the bag ashore and escaped with ship's properties.",PIRATES,BULK CARRIER,XI,71
3100,2011-369,16.9,54.05,2011-08-20,2011,"SALALAH ANCHORAGE, OMAN:  Armed pirates attacked and boarded a chemical tanker at anchor. They took hostage 21 crew members and hijacked the tanker to Somalia.",PIRATES,CHEMICAL TANKER,IX,62
3101,2011-368,5.633333,2.65,2011-08-20,2011,"BENIN:  Chemical tanker (EMOCEAN) was hijacked 20 August at 2325 UTC while conducting  ship-to-ship (STS) operations in position 05-38N  002-39E, approximately 44NM southeast of Cotonou, Benin. Twelve pirates boarded, took control of the ship, and sailed to an unknown location. Owners were unable to contact the vessel. Awaiting further details. (IMB)",PIRATES,CHEMICAL TANKER,II,57
3102,2011-374,1.0,-79.65,2011-08-19,2011,"ESMERALDAS ANCHORAGE, ECUADOR:  Duty watchman onboard an anchored chemical tanker noticed three robbers on the forecastle deck. One of the robbers shouted at the watchman and threatened him with a long knife. The watchman ran away and informed the duty officer on the bridge who raised the alarm. Seeing crew alertness the robbers escaped with ship stores. Port authorites informed.",PIRATES,CHEMICAL TANKER,XII,22
3103,2011-365,13.066667,48.0,2011-08-17,2011,"GULF OF ADEN:  Six pirates armed with guns in a skiff chased a bulk carrier underway. Master raised alarm, increased speed and all crew except the bridge team mustered in the citadel. As the skiff approached to come alongside, the onboard security team fired warning shots resulting in the pirates aborting the attack and moving away..",PIRATES,BULK CARRIER,IX,62
3104,2011-364,13.28,43.018333,2011-08-17,2011,"SOUTHERN RED SEA:  Seven high speed boats suddenly approached around a bulk carrier underway. Two of the boats with 3-5 persons in each boat armed with automatic weapons, approached the ship at high speed. Master raised alarm, increased speed, took evasive maneuvers and crew mustered in the safe room except the bridge team. Later the pirates aborted the attack and moved away.",PIRATES,BULK CARRIER,IX,62
3105,2011-362,14.57,42.398333,2011-08-12,2011,"RED SEA:  LPG tanker (GAS PRIDE) was fired upon by pirates on 12 August at 1406 UTC while underway in position 14-34.2N  042-23.9E, approximately 40NM southwest of Ras Isa, Yemen. Pirates in two skiffs, one with three pirates onboard and one with four pirates onboard, approached and fired upon the vessel's superstructure area resulting in several areas damaged by bullets. The Master ordered the crew into the citadel. After the vessel engaged in evasive maneuvers the pirates broke off the attack. (IMB, UKMTO)",PIRATES,TANKER,IX,62
3106,2011-360,1.704444,101.478333,2011-08-12,2011,"INDONESIA:  A chemical tanker was boarded 12 August at 0230 LT while anchored in postion  01-42.27N  101-28.70E, 2NM off the coast of Dumai, Indonesia. Three robbers  boarded the vessel via the poop deck. The alert deck crew saw the robbers and notified the duty officer, who then raised the alarm. The robbers escaped and nothing was  stolen (IMB)",PIRATES,CHEMICAL TANKER,XI,71
3107,2011-363,3.0,101.4,2011-08-11,2011,"MALAYSIA:  A tug and barge was robbed 11 August at 1530 LT while transiting from Port Klang to Kuching, Malaysia. The crew discovered goods were stolen from containers after the tug and barge arrived at the discharge port. (IMB)",PIRATES,TUG BOAT,XI,71
3108,2011-358,15.15,41.916667,2011-08-11,2011,"RED SEA:  Bulk carrier (CARAVOS HORIZON) was boarded by six pirates on 11 August at 1115 UTC while underway in position 15-09N  041-55E, approximately 44NM southwest of Ras Isa, Yemen. Three skiffs behind a mothership approached the bulk carrier at high speed, one from portside, one from starboard side, and one from astern. The vessel engaged in evasive maneuvers, but the pirates were able to hook a ladder on the vessel. The  24 crewmembers retreated into the citadel and the pirates left the vessel. (IMB, UKMTO)",PIRATES,MERCHANT VESSEL,IX,62
3109,2011-361,-2.833333,-80.583333,2011-08-09,2011,"GUAYAQUIL ROADS, ECUADOR:  Duty watchman onboard a drifting container vessel spotted two robbers on the main deck and informed the duty officer and Captain. Alarm raised and crew mustered. The robbers escaped upn seeing the crew alertness. Inspection revealed that three containers seals were broken but nothing was stolen. Port control informed.",PIRATES,CONTAINER SHIP,XII,22
3110,2011-352,13.146667,48.693333,2011-08-09,2011,GULF OF ADEN:  Five pirates armed with rpgs and guns in a 12 meter white plastic skiff chased and fired upon a general cargo ship underway. Onboard security team fired warning shots resulting in the pirates moving away. A warship in the vicinity carried out a search  in the area.,PIRATES,CARGO SHIP,IX,62
3111,2011-354,1.261111,103.459722,2011-08-08,2011,"MALAYSIA:  An LPG tanker was boarded 8 August at 0200 LT while at anchor in  position 01-15N  103-27E, approximately 13NM west of Singapore. Four robbers armed  with long knives boarded an anchored LPG tanker. They entered the engine room, tied up the duty oiler, stole engine spares, and escaped. The oiler managed to release himself and raise the alarm. Authorities informed. (IMB)",PIRATES,TANKER,XI,71
3112,2011-353,-4.765,11.778333,2011-08-07,2011,"POINT NOIRE ANCHORAGE, CONGO:  Ship watchman onboard an anchored container vessel spotted four armed robbers on the main deck. He immediately informed the duty officer who raised the alarm, alerted all crew members and informed the port control. Seeing crew alertness the robbers jumped overboard and escaped in a long wooden boat with stolen ship stores.",PIRATES,CONTAINER SHIP,II,57
3113,2011-359,2.192778,109.258611,2011-08-06,2011,"12 MILES OFF PULAU MERUNDUNG, SOUTH CHINA SEA:  Eight pirates armed with knives boarded a tug underway. They stole ship stores and crew personal belongings. Pirates left the ship after one hour. All crew safe.",PIRATES,TUG BOAT,XI,71
3114,2011-355,13.12,43.081667,2011-08-06,2011,"ASSAB, ERITREA, RED SEA:  Tweleve skiffs with five to eight pirates in each approached a bulk carrier underway. As the skiff closed guns and ladders were noticed. Warning flares were deployed by the onboard security team. The skiffs continued to approach the vessel at 17 knots. At a distance of around 300 meters,  on the command of the Master, the onboard security team fired warning shots resulting in most of the skiffs falling back and circling the vessel. Two skiffs continued to chase the vessel and return fire. The skiffs and the security team exchanged fire and after 30 minutes and numerous approaches the skiffs aborted and moved away.",PIRATES,BULK CARRIER,IX,62
3115,2011-356,10.321667,-75.527778,2011-08-04,2011,"MAMONAL INNER ANCHORAGE, COLOMBIA:  Six robbers in a wooden speed boat attempted to board an anchored chemical tanker via the anchor chain. Alert duty A/B noticed the robbers, raised the alarm and flashed lights on them. Upon seeing crew alertness the robbers aborted the attempt and escaped. Incident was reported to the Mamonal port control who informed the coast guard.",PIRATES,CHEMICAL,IV,24
3116,2011-357,22.176667,91.721667,2011-08-03,2011,"CHITTAGONG ANCHORAGE, BANGLADESH:  A robber boarded an anchored container ship via the stern and tried to steal the ship's rope. The alert security guard spotted the robber and informed the duty officer who raised the alarm. Seeing crew alertness the robber jumped overboard and escaped.",PIRATES,CONTAINER SHIP,VIII,63
3117,2011-348,-4.8,11.85,2011-08-01,2011,"ATLANTIC OCEAN:  General cargo ship was robbed 1 August at 0015 UTC while anchored at Pointe Noire Roads, The Congo. After the duty crew alerted, the five robbers escaped with ships stores in a high speed boat. (IMB)",PIRATES,CARGO SHIP,II,57
3118,2011-346,-4.061667,39.643333,2011-08-01,2011,"KENYA:  Container vessel was robbed 1 August at 0100 UTC while moored with buoys in position 04-03.7S  039-38.6E in Mombasa Port, Kenya. Two robbers with knives boarded the vessel. The onboard security team noticed the robbers on the forecastle deck and raised  the alarm. The robbers escaped after stealing the ship's stores. (IMB)",PIRATES,CONTAINER SHIP,VIII,61
3119,2011-347,6.0,2.483333,2011-07-31,2011,"GULF OF GUINEA:  Chemical tanker (GOTLAND SOFIA) was boarded by 10 pirates with guns on 31 July at 0150 UTC while engaged in ship-to-ship operations about 38NM outside Cotonou Port, Benin. The robbers fired at the bridge, the crew barricaded themselves in the engine room. The pirates left the vessel when Benin naval vessels approached. (IMB, Open Sources)",PIRATES,CHEMICAL TANKER,II,57
3120,2011-351,5.7,3.083333,2011-07-30,2011,"GULF OF GUINEA:  Tanker experienced an attempted boarding 30 July at 1934 UTC while drifting in position 05-42N  003-05E, approximately 48NM southwest of Lagos, Nigeria. An inflatable boat with six people onboard approached at high speed and attempted to hang a hook with a knotted rope to the ship's rails. After the crew turned on the fire hoses, two men on the boat fired 15¿20 shots at the crew on the bridge wing. Men were armed with a shotgun and one pistol. The pirates made another attempt to board the vessel from the  starboard side and aborted the attack. None of the crew was injured. (Flag State)",PIRATES,TANKER,II,57
3121,2011-350,22.062778,91.771944,2011-07-29,2011,"BANGLADESH:  General cargo ship was boarded 29 July at 0018 UTC while anchored in position  22-03.76N  091-46.31E, approximately 11NM south of Pattanga Lt House, Chittagong OPL, Bangladesh. Thirteen robbers boarded the vessel. The deck cadet and bosun  saw the robbers stealing the ship stores and informed the bridge. The officer of the watch  raised the alarm, and the robbers jumped overboard and escaped. The vessel tried to but  could not contact authorities. (IMB)",PIRATES,CARGO SHIP,VIII,63
3122,2011-338,5.989444,2.401944,2011-07-24,2011,"GULF OF GUINEA:  Tanker (RBD ANEMA E CORE) was hijacked 24 July at 0140 UTC while engaged in ship-to-ship operations with another tanker in position 05-59.36N  002-24.11E, approximately 22NM southwest of Cotonou, Benin. The pirates boarded the tanker via the other tanker. The hijacked tanker had 23 crewmembers onboard. (IMB, Open Source)",PIRATES,TANKER,II,57
3123,2011-345,13.688333,42.956667,2011-07-23,2011,"40 MILES OFF ASSAB, ERITREA, RED SEA:  Pirates in two skiffs approached a container ship underway. Master raised alarm, increased speed, took evasive maneuvers and crew activated fire hoses. The pirates chased the ship and later aborted the attempted attack. At 0646 UTC, another skiff rushed out from Abu-Ali Island towards the ship at high speed. Due to the razor wire rigged along the ship's side and the evasive maneuvers the pirates aborted the attack. A mother vessel was sighted in the vicinity.",PIRATES,CONTAINER SHIP,IX,62
3124,2011-344,13.528333,42.703333,2011-07-22,2011,"30 MILES NORTH OF ASSAB, ERITREA, RED SEA:  Three skiffs with 5-6 pirates in each were noticed by a tanker underway. One of the skiff suddenly approached the tanker. Master released two flares when the skiff closed to 700 meters. The skiff doing 20 knots ignored the warning flares and continued chasing the tanker. As the skiff closed, onboard security team fired a flare and one warning shot resulting in the skiff moving away towards the other 2 skiffs. Coalition warship was informed and a helicopter was dispatched.",PIRATES,TANKER,IX,62
3125,2011-342,13.006667,48.366667,2011-07-22,2011,"GULF OF ADEN:  Six armed pirates in a skiff chased a container vessel underway. Master raised the alarm, took evasive maneuvers and contacted the coalition forces. The vessel managed to evade the attempt.",PIRATES,CONTAINER SHIP,IX,62
3126,2011-340,9.509167,-13.712222,2011-07-22,2011,"GULF OF GUINEA:  A vehicle carrier was robbed 22 July at 0340 UTC during cargo operations in Conakry Port, Guinea. Armed robbers held a duty crewmember at gunpoint, forced him to direct them to the ship's stores, and hit him when he resisted. The robbers forced themselves into the forecastle store, stole the ship's stores, and escaped. (IMB)",PIRATES,VEHICLE CARRIER,II,51
3127,2011-337,12.933333,48.5,2011-07-22,2011,GULF OF ADEN:  Merchant vessel attacked in 12-56N  048-30E at 1029Z on 22 Jul. Vessels are advised to keep 100 miles clear of this position and to exercise extreme caution.,PIRATES,MERCHANT VESSEL,IX,62
3128,2011-333,13.483333,42.6,2011-07-21,2011,SOUTHERN RED SEA:  Merchant vessel fired upon by six pirates in a skiff in 13-29N  042-36E at 1118Z on 21 Jul. Vessels are advised to keep 100 miles clear of this position and to exercise extreme caution.,PIRATES,MERCHANT VESSEL,IX,62
3129,2011-349,13.493333,42.598333,2011-07-20,2011,"ASSAB, ERITREA, RED SEA:  A product tanker underway noticed one white colored skiff and on dark colored skiff with six pirates in each at a distance of 1.5 miles. The dark colored skiff approached the tanker at a speed of 15 knots. Master raised alarm and took evasive maneuvers. When the skiff closed to 0.6 miles, the onboard security team fired a rocket parachute at the skiff, which was ignored. At a distance on 0.5 miles the armed guards noticed three rifles, a ladder and pole in the skiff and fired a warning shot resulting in the pirates aborting the attack.",PIRATES,PRODUCT TANKER,IX,62
3130,2011-336,22.75,113.645,2011-07-20,2011,"HUANGPU ANCHORAGE, CHINA:  Robbers boarded a bulk carrier at anchor during heavy rain. Alert duty watchman sighted the robbers on the forecastle deck, notified the duty officer and went towards the robbers. Seeing the alert crew the robbers escaped. Investigation revealed ship stores had been stolen. Incident was reported to VTS Guangzhou.",PIRATES,BULK CARRIER,XI,93
3131,2011-332,3.931667,98.763333,2011-07-20,2011,"INDONESIA:  A chemical tanker was robbed 19 July at 2130 UTC while anchored in position  03-55.9N  098-45.8E in the Belewan anchorage, Indonesia. The duty watchman  sighted three robbers and informed the officer of the watch (OOW), the OOW then raised the alarm and mustered the crew. The robbers escaped with the ship's stores. Port authorities did not respond. (IMB)",PIRATES,CHEMICAL TANKER,XI,71
3132,2011-329,13.431667,42.693333,2011-07-20,2011,"RED SEA:  A tanker was chased and fired upon by six to seven pirates wearing dark clothes in a skiff. Master increased speed and mustered crew. Onboard secutiy team released flares and when pirates continued, warning shots were fired resulting in the pirates moving away.",PIRATES,MERCHANT VESSEL,IX,62
3133,2011-335,-8.416667,12.35,2011-07-19,2011,"60 MILES WEST OF LUANDA, ANGOLA:  A speed boat with unknown number of persons approached a tanker underway. Duty officer informed the Master who took evasive maneuvers, increased speed, raised alarm, mustered crew and activated fire pumps. The speed boat chased the tanker for more than one hour before moving away. Master reported the incident to Luanda port authorities.",PIRATES,TANKER,VII,57
3134,2011-325,14.601667,42.318333,2011-07-18,2011,RED SEA:  Nine skiffs surrounded a LPG tanker underway. The security team observed one skiff carrying six men suddenly turned towards the tanker's stbd side and closed in aggressively. Master took evasive maneuvers when the skiff came close to 50-60 meters from the tanker. Fuel cans and weapons were sighted and the security team fired one flare towards the skiff and it was ignored by the pirates and they continued to approach the tanker. Two warning shots were fired by the security team and all the skiffs dispersed and left the vicinity.,PIRATES,TANKER,IX,62
3135,2011-343,-0.224444,117.594444,2011-07-17,2011,"SAMARINDA MUARA BERAU ANCHORAGE, INDONESIA:  Robbers boarded a bulk carrier at anchor, stole ship's stores and escaped unnoticed.",PIRATES,BULK CARRIER,XI,72
3136,2011-328,13.8,51.416667,2011-07-17,2011,"GULF OF ADEN:  Oil tanker (JUBBA XX) was hijacked 16 July in the morning. The exact location of the vessel during the hijacking is unknown. As of 17 July at 0813 UTC, the vessel was located at 13-48N  051-25E, approximately 134NM northwest of Socotra Island, Yemen. Nine Somali pirates were onboard the vessel on 17 July. There are 16 crewmembers onboard the vessel, including four Somalis (Open Source, Operator, UKMTO)",PIRATES,TANKER,IX,62
3137,2011-341,6.146667,2.513333,2011-07-16,2011,"GULF OF GUINEA:  Product tanker was hijacked 30NM off the coast of Nigeria on 16 July. The vessel was transiting from Ghana to Benin. The vessel was released on 18 July at 1700 UTC, and all 20 crewmembers were reported in good health. It is unknown whether or not a ransom was paid for the vessel. After its release, the vessel headed towards Tema, Ghana. (Open sources)",PIRATES,PRODUCT TANKER,II,57
3138,2011-327,13.605,50.288333,2011-07-16,2011,"GULF OF ADEN:  Six pirates in a skiff chased a bulk carrier underway. Master raised alarm, crew proceeded to citadel and security guards onboard fired a hand flare. The pirates continued to chase the ship and closed to a distance of 300 meters from the ship. The security guards fired a warning shot upon sighting guns, rpgs and ladders on the skiff. The pirates aborted the attempted attack and moved away. Incident reported to the warship.",PIRATES,BULK CARRIER,IX,62
3139,2011-331,10.315,-75.588333,2011-07-15,2011,"COLOMBIA:  A container vessel experienced an attempted boarding 16 July at 0330 UTC while underway in position 10-18.9N  075-35.3W at the Cartagena Pilot Station, Colombia. Three robbers in a small boat attempted to board the vessel via a rigged pilot ladder. The alert duty ordinary seaman saw the pirates and notified the bridge via VHF. The Master increased the speed of the vessel and the crew pulled the pilot ladder up. The robbers chased the vessel for a few minutes and aborted the attack. (IMB)",PIRATES,CONTAINER SHIP,IV,24
3140,2011-326,29.820833,32.520833,2011-07-15,2011,"EGYPT:  A product tanker was robbed 15 July while anchored in position 29-49.25N 032-31.25E, in the Suez anchorage, Egypt. The robbers stole the forward life raft and escaped. The theft was not noticed until 0605 UTC. Port control was informed. (IMB)",PIRATES,PRODUCT TANKER,IX,62
3141,2011-321,12.733333,43.3,2011-07-13,2011,"BAB EL MANDEB STRAITS, RED SEA:  Pirates armed with guns in two skiffs chased and approached a chemical tanker underway. Maters mustered crew and ship's security team was deployed to the bridge wings. On sighting the security team, the pirates aborted the attack and moved away.",PIRATES,CHEMICAL TANKER,IX,62
3142,2011-320,20.653333,106.893333,2011-07-13,2011,"VIETNAM:  A container ship was robbed 12 July at 2005 UTC while anchored in position  20-39.2N  106-53.6E at the Hai Phong Pilot Station, Vietnam. Five robbers with  knives boarded the vessel during a heavy rain, stole ship's stores, and jumped overboard  when sighted by the crew. (IMB)",PIRATES,CONTAINER SHIP,XI,93
3143,2011-330,18.533333,-72.383333,2011-07-10,2011,"HAITI:  A container ship was robbed 10 July at 0500 UTC while anchored in position  18-32N  72-23W in the Port au Prince anchorage, Haiti. Robbers boarded the  vessel and stole ship's property. (IMB)",PIRATES,CONTAINER SHIP,IV,26
3144,2011-323,9.1,-14.105,2011-07-09,2011,"CONAKRY, GUINEA:  Pirates in a motor boat approached a drifting bulk carrier. Duty officer noticed the approaching boat and raised alarm and crew mustered. Pirates fired machine guns and rpgs at the vessel and moved away. Vessel proceeded further out to sea.",PIRATES,BULK CARRIER,II,51
3145,2011-324,14.95,41.85,2011-07-08,2011,SOUTHERN RED SEA:  A sailing yacht was hijacked by pirates in 14-57N  041-51E at 1700z on 08 Jul. The vessel and crew has been reported safe. Vessels are advised to keep 100 miles clear of this position and to exercise extreme caution.,PIRATES,YACHT,IX,62
3146,2011-322,14.533333,120.916667,2011-07-08,2011,"MANILA SOUTH ANCHORAGE, PHILIPPINES: Duty watchman onboard an anchored container ship noticed three robbers boarding the vessel from a boat near the forecastle. He informed the duty officer who raised the alarm and reported to port authorities. Seeing crew alertness the robbers escaped with stolen ship's stores.",PIRATES,CONTAINER SHIP,XI,91
3147,2011-339,6.26,2.383333,2011-07-06,2011,"GULF OF GUINEA:  A tanker experienced two attempted boardings, the first on 6 July at 2230 UTC while launching in position 06-15.6N  002-23E, approximately 6NM southwest of Cotonou, Benin. Ten robbers with guns attempted to board the vessel with a hook attached to a rope. The alert crew raised the alarm. The Master used the VHF to inform the Cotonou signal station and navy. The robbers then aborted the attempt. On 7 July at 0230  UTC, the same robbers approached the vessel. The crew became alert to the situation and fired parachute flares. The robbers them aborted the attempt. (IMB)",PIRATES,TANKER,II,57
3148,2011-319,12.483333,44.733333,2011-07-06,2011,"GULF OF ADEN:  Crude oil tanker (BRILLIANTE VIRTUOSO) was boarded 6 July at 0023 UTC while stopped in position 12-29N  044-44E, approximately 25NM southwest of Aden, Yemen. Seven suspected pirates boarded the vessel and left due to a fire onboard the vessel. The crew also abandoned the vessel and was rescued by a nearby naval vessel. (IMB, Operator, Commercial Source)",PIRATES,MERCHANT VESSEL,IX,62
3149,2011-316,-6.098333,106.883333,2011-07-04,2011,"PRIOK PORT, JAKARTA, INDONESIA:  A bulk  carrier was robbed 3 July at 2115 UTC while berthed in position  06-05.9S  106-53.0E at Tg. Priok Port, Jakarta, Indonesia. Three robbers with knives  boarded the vessel via the shore side cargo net while it was engaged in discharge operations. The duty crew noticed them near the forward store and informed the duty officer, who raised the alarm. The duty crew tried to stop the robbers but were threatened with a knife. The robbers escaped via the sea side with stolen properties, using a small boat. (IMB)",PIRATES,BULK CARRIER,XI,71
