reference,date,position,navArea,subreg,hostility,victim,description,
2008-364,2008-08-30,"6°47'24""S
39°40'12""E",VIII,61,PIRATES,CONTAINER SHIP,"TANZANIA: Container ship boarded 30 Aug 08 at 0001 local time while drifting in position 06-47.4S 039-40.2E, Dar es Salaam Roads. Three perpetrators armed with knives boarded the vessel. Another three perpetrators were seen climbing up using a knotted line. However, when the perpetrators were noticed, the ship's crewmembers raised the alarm and started its engine. The perpetrators fled empty handed (IMB).  .",
2008-328,2008-08-30,"0°04'48""S
117°34'18""E",XI,72,PIRATES,LPG TANKER,"INDONESIA LPG tanker boarded, robbed 30 Aug 08 at 0430 local time while at  anchorage in position 00:04.8S 117:34.3E, Santan Port.  Several robbers boarded the vessel at  the forward mooring station.  The ship¿s crew raised the alarm and the intruders escaped in a  waiting boat.  Due to heavy rain, the master was unable to confirm the number of robbers and the  weapons.",
2008-304,2008-08-30,"6°47'24""S
39°40'12""E",VIII,61,Pirates,Container Ship,"TANZANIA: Container ship boarded 30 Aug 08 at 0001 local time while drifting in position 06-47.4S 039-40.2E, Dar es Salaam Roads. Three perpetrators armed with knives boarded the vessel. Another three perpetrators were seen climbing up using a knotted line started its engine. The perpetrators fled empty handed (IMB).",
2008-298,2008-08-30,"5°13'00""N
4°02'00""E",II,57,Pirates,Tanker Vessel,"IVORY COAST: Tanker boarded, robbed 30 Aug 08 at 2330 local time while in position 05-13N 004-02E, Port Abidjan Anchorage. The duty crew onboard the vessel spotted a robber on the poop deck. The bridge was informed and the alarm was raised. The robber jumped overboard escaping with ships stores (IMB).",
2008-365,2008-08-29,"6°46'09""S
39°21'06""E",VIII,61,PIRATES,GENERAL CARGO VESSEL,"TANZANIA Container ship boarded, robbed 29 Aug 08 at 2005 local time while in position 06-46.95S 039-21.68E, Dar es Salaam Anchorage. Robbers boarded the vessel. The duty crew noticed one robber on the starboard side armed with a knife. The robber threw a lashing bar towards the duty crew who escaped and informed the bridge. The alarm was raised  and the crew mustered and rushed to the forecastle. The robbers escaped upon hearing the alarm. The crew found one container opened and ship's stores stolen. The Port Control was informed. The ship weighed anchor and proceeded further out to sea for drifting (IMB).  .",
2008-324,2008-08-29,"13°11'00""N
46°38'00""E",IX,62,SPPEDBOAT,CHEMICAL TANKER,"GULF OF ADEN Chemical tanker (BUNGA MELATI 5) hijacked 29 Aug 08 at 1400 UTC while underway in position 13-11N 046-38E, approximately 14NM off the coast of Yemen. The vessel was reportedly chased by a speedboat and requested coalition warship assistance. The vessels crew activated hoses and attempted to ward off the attackers. The vessel was then fired upon for approximately ten minutes before being boarded. Communication then went dead. A warship arrived, but by then, the pirates had altered the course of the vessel and headed towards Somali waters. The vessel reportedly has 41 crewmembers on board. ONI COMMENT: This location is in the central Gulf of Aden approximately 135NM farther to the west from previous hijack locations indicating an increased operating area for piracy in the Gulf of Aden (Operator, ONI, UKMTO, LL, IMB).",
2008-305,2008-08-29,"6°46'57""S
39°21'41""E",VIII,61,Pirates,Container Ship,"TANZANIA: Container ship boarded, robbed 29 Aug 08 at 2005 local time while in position 06-46.95S 039-21.68E, Dar es Salaam Anchorage.  Robbers boarded the vessel. The duty crew noticed one robber on the starboard side armed with a knife. The robber threw a lashing bar towards the duty crew who escaped and informed the bridge. The alarm was raised and the crew mustered and rushed to the forecastle. The robbers escaped upon hearing the alarm. The crew found one container opened and ship's stores stolen. The Port Control was informed. The ship weighed anchor and proceeded further out to sea for drifting (IMB).",
2008-297,2008-08-27,"10°57'00""N
63°51'00""W",IV,24,Pirates,unknown,"VENEZUELA: Dinghy stolen 27 Aug 08 at 1830 local time, Porlamar, Margarita Island. The owner stated that there were approximately 12 other dinghies tied to the dock when boat was stolen. He stated that he had paid the dock attendant to ""safeguard"" the boat, but the perpetrators were still able to steal the boat (Operator: Noonsite.com).",
2008-327,2008-08-26,"25°41'18""N
54°49'12""E",IX,62,SMALL CRAFT,CONTAINER SHIP,"PERSIAN GULF: Container ship reported suspicious approach 26 Aug 08 at 1930 local time while underway in position 25-41.3N 054-49.2E, 36NM northwest of Dubai, UAE. A small craft was sighted stationary, 4NM off the starboard bow. The small craft had a CPA of .7NM down the starboard side. At the time of the CPA, the small craft increased speed to approximately 20kts and headed towards the vessel, crossing the bow closely from starboard to port.  The second officer called the captain to the bridge. The captain took the conn with small  craft now on port bow, range .2 nm. The small craft reportedly increased its speed again and crossed the bow from starboard to port flashing a search light at the vessels bridge.  At 2040 local time while in position 25-54.9N 054-45.0E, a second small craft approached the vessel from the starboard side at a range of 5NM and a 0 CPA with a speed of 22kts and closing. The master altered its course starboard with the small craft 3NM off while it kept altering course to remain at 0 CPA. The master conducted evasive maneuvers and increased its CPA from the suspicious crafts, sounded the alarm and assumed security positions. The suspicious crafts moved away due to an excellent security response.  UKMTO NOTE: This report was passed onto CTF-152 for investigation (UKMTO).",
2008-326,2008-08-26,"12°29'42""N
44°59'26""E",IX,62,SUSPICIOUS VESSEL,CONTAINER SHIP,"GULF OF ADEN Container ship reported suspicious approach 26 Aug 08 while underway in position 12-29.7N 044-59.44E. The vessel requested assistance. UKMTO Note: No weapons were seen and no concerted attempt to attack. CTF-150 investigated and now assess mistaken identity of Aden fishermen (UKMTO, IMB, Operator).",
2008-325,2008-08-26,"12°27'17""N
45°02'06""E",IX,62,SUSPICIOUS BOATS,TANKER,"GULF OF ADEN: Tanker reported suspicious approach 26 Aug 08 at approximately 2052 local time/1652 UTC while underway in position 12-27.29N 045-02.10E. Two suspicious small boats reportedly chased the vessel. The general alarm was raised; the crew mustered and  took evasive maneuvers. The small craft moved away. The incident was reported to the IMB and the vessels captain requested assistance from nearby coalition task force elements. There was reportedly one fishing boat drifting in position 12-22.7N 044-47.3E, which was described as possibly a suspicious trawling mother-ship. The vessel was proceeding to the Suez. UKMTO NOTE: No weapons seen and no concerted attempt to attack. CTF-150 investigated and now assesses mistaken identity of Aden Fishermen (IMB, UKMTO, Operator).",
2008-288,2008-08-26,"12°28'00""N
44°44'00""E",IX,62,Suspicious Approach,Unknown Vessel,"GULF OF ADEN: Vessel reported suspicious approach 26 Aug 08 while underway near Aden, Yemen. A vessel heard an announcement on VHF Ch. 16 that another near by vessel stated that it had spotted three speedboats traveling at 22kts and getting off a reported mother-ship. The position of the mother-ship was 12-28N 044-44E, 25NM southwest of Aden, Yemen (IMB).",
2008-287,2008-08-26,"13°30'00""N
48°34'00""E",IX,62,Suspicious Approach,Cargo Vessel,"GULF OF ADEN: Cargo vessel reported suspicious approach 26 Aug 08 at 1040 local time/0740 UTC while underway in position 13-30N 048-34E, 87NM southwest of Al Mukalla, Yemen. While transiting the Gulf of Aden the vessel reported a number of suspicious boats to a Coalition Warship in the area. The vessel kept monitoring the suspicious boats and noticed two suspicious boats at the vessels port quarter about two miles off. The vessel increased its speed to move away from the suspicious boats (IMB, Operator).",
2008-303,2008-08-25,"6°10'42""N
3°23'48""E",II,57,Pirates,Chemical Tanker,"NIGERIA: Chemical tanker boarded 25 Aug 08 at 0030 local time while in position 06-10.7N 003-23.8E, Lagos anchorage. Robbers armed with long knives boarded the vessel and stole the ships stores. The duty crew spotted them and informed the duty officer, who raised the alarm and alerted the crewmembers. The robbers escaped (IMB).",
2008-293,2008-08-24,"16°59'42""N
82°21'24""E",VIII,63,Pirate Robbery,Chemical Tanker,"INDIA: Chemical tanker boarded, robbed 24 Aug 08 at 0005 local time while at anchorage in position 16-59.7N 082-21.4E, Kakinada. Two robbers boarded the vessel. The robbers attempted to steal the fire wire and other ship stores. Upon hearing the emergency alarm and ship¿s horn, the robbers fled with the fire wire in a waiting boat along with two other accomplices (IMB).",
2008-289,2008-08-24,"12°49'00""N
50°30'00""E",IX,62,Suspicious Approach,Cargo Vessel,"GULF OF ADEN: Cargo vessel reported suspicious approach 24 Aug 08 at 0655 local time while underway in position 12-49N 050-30E, 52NM north northwest of Caluula, Somalia. The vessel reported a suspicious craft approaching. The suspicious craft¿s speed was between 1.5 and 4.7kts with a course of approximately 153 degrees. The vessel altered its course to gain distance from the suspicious craft. The silhouette of the vessel was described as a tug boat. The suspicious craft was last located at 0823 local time while in position 12-53.8N 050-36.3E (UKMTO, IMB).",
2008-286,2008-08-24,"4°27'00""N
7°10'00""E",II,57,Pirate Hijacking,Oil Supply Vessel,"NIGERIA: Oil supply vessel (BENUE) hijacked 24 Aug 08 at 1440 UTC, Bonny Channel, Rivers State. The vessel was traveling from Agbami oilfield to Onne when it was seized by unknown militants. The vessel is owned by West Africa Offshore and has a crew of eight Nigerians. No group has claimed responsibility for the hijacking (AFP, REUTERS).",
2008-285,2008-08-24,"41°30'18""N
9°16'00""E",III,53,Pirates,Civilian Yacht,"CORSICA: Yacht (TIARA) boarded, robbed 24 Aug 08 at 2340 local time, while at anchorage in position 41-30.3N 009-16E, Golfe de Porto Novo. Four armed masked men in a speedboat boarded the vessel and robbed the passengers and crew of more than 100,000 euros. The captain was ordered to empty the vessel¿s safe. They also robbed the nine passengers of jewelry. Artworks were also taken from the vessel. No injuries to crew or damage to vessel. The Coastguard stated that it was very rare for such an attack to occur in European waters (LM: Yachting Monthly, SuperyachtTimes.com).",
2008-292,2008-08-23,"13°16'54""N
42°55'18""E",IX,62,Suspicious Approach,Unknown Vessel,"GULF OF ADEN: Vessel reported suspicious approach 23 Aug 08 at 0630 UTC while underway in position 13-16.9N 042-55.3E, 53NM north northwest of Caluula, Somalia. A white colored speedboat with five persons onboard approached the vessel. The alarm was raised; the crew mustered and activated the fire hoses. The suspicious craft approached a second time and followed the ship for ten minutes before finally moving away (IMB).",
2008-291,2008-08-23,"14°16'00""N
50°19'24""E",IX,62,Pirate Attack,Cargo Vessel,"GULF OF ADEN: Cargo vessel fired upon 23 Aug 08 at 1708 local time/1008 UTC, while underway in position 14-16N 050-19.40E, 65NM southeast of Al Mukalla, Yemen. The master reported the vessel had been fired upon. The master raised the alarm, increased its speed, took evasive maneuvers and fired rocket flares. At 1052 UTC, the speedboats reportedly stopped firing and moved away. The speedboats were spotted with a possible mother-ship about 3NM away from the vessel (IMB, Operator).",
2008-290,2008-08-23,"14°11'18""N
50°20'18""E",IX,62,Pirate Attack,Bulk Cargo Vessel,"GULF OF ADEN: Bulk cargo vessel fired upon 23 Aug 08 at 1605 local time, while underway in position 14-11.3N 050-20.3E, 68NM southeast of Al Mukalla, Yemen. The master of the vessel reported that it had been fired upon and there were shots on the bridge. The master requested immediate assistance from the coalition authorities. An aircraft arrived at the scene and the piracy tug boat (possibly the mother-ship) and the speedboats stopped firing. The ship is reportedly safe. Reported description confirms that the pirate vessel being used is the (YENAGOA OCEAN) (IMB, Operator, UKMTO).",
2008-282,2008-08-21,"13°37'00""N
50°11'00""E",IX,62,Suspicious Approach,Bulk Cargo Vessel,"GULF OF ADEN: Bulk cargo reported suspicious approach 20 Aug 08 while underway in position 13-37N 050-11E, 79NM southeast of Al Mukalla, Yemen (UKMTO).",
2008-281,2008-08-21,"13°49'18""N
50°23'54""E",IX,62,Hijacking,Bulk Cargo Vessel,"GULF OF ADEN: Bulk carrier (IRAN DEYANAT) hijacked 21 Aug 08 at 0223 UTC, while underway in position 13-49.3N 050-23.9E, approximately 82NM southeast of Al Mukalla, Yemen. The vessel was fired upon and boarded, no further information. It is reported that there are 18-20 pirates onboard the vessel. The vessel is currently anchored off Eyl (Operator, IMB,  UKMTO, LM: Times of India).",
2008-280,2008-08-21,"14°26'25""N
49°56'28""E",IX,62,Hijacking,Chemical Tanker,"GULF OF ADEN: Chemical tanker (IRENE) hijacked 21 Aug 08 at 0358 UTC, while underway in position 14-26.42N 049-56.46E, 45NM east of Al Mukalla, Yemen. The vessel is transporting approximately 10,000 mt of chemical / flammable cargo. There are 19 crewmembers onboard, two Russians, one Croatian, and 16 Filipinos (Operator, IMB, REUTERS).",
2008-279,2008-08-21,"13°15'48""N
48°52'48""E",IX,62,Suspicious Approach,Bulk Cargo Vessel,"GULF OF ADEN: Bulk cargo reported suspicious approach 21 Aug 08 at 0920 local time/0620 UTC, while underway in position 13-15.8N 048-52.8E, approximately 50NM off the Yemen coast. The vessel detected two boats. The first boat was of dark grey without a superstructure and several people on board, and the second boat (a little further away from the first boat) white in color. Both of them were detected from five to ten degrees off the port side at a radar distance of 1.5 miles. The first boat crossed the vessels bow from port to starboard. The vessel took evasive maneuvers, altering to the starboard side. The dark grey boat was reportedly attempting to follow the vessel. The speed of the suspected boat was 7.5kts. Then the vessel inverted the course to 90 degrees for 15 minutes and the suspected boat moved away. The vessel then altered its course to 180 degrees for 30 minutes. At 1020 local time the vessel resumed its initial course of 257 degrees and proceeded with a speed of 15 kts following another vessel at a distance of 8.5 miles from the bow (Operator, IMB).",
2008-278,2008-08-21,"12°57'54""N
48°56'42""E",IX,62,Pirate Hijacking,Cargo Ship,"GULF OF ADEN: Cargo ship (BBC TRINIDAD) hijacked 21 Aug 08 at 0945 UTC while underway in position 12-57.9N 048-56.7E, 107NM south of Al Mukalla, Yemen. The vessel was attacked by two fast crafts. An additional orange mother-ship was spotted during the hijacking. The vessel reportedly has 13 crewmembers onboard (one Slovak, three Russians and nine Filipinos) and is currently anchored of Eyl. Owners are unable to provide further information, however, they informed that the crew and vessel are safe (Operator, IMB, LM: Caribbean New News).",
2008-294,2008-08-20,"9°55'00""N
76°05'00""E",VIII,63,Pirates,Container Ship,"INDIA: Container ship (OEL DUBAI) boarded, robbed 20 Aug 08 at 0350 local time/2130 UTC while at anchorage in position 09-55N 076-05E, Cochin. Four robbers boarded the vessel from a wooden boat and stole the 10 drums of paint from the paint locker. The ship master reported the incident to the Port Authority of Kochi. After the alarm was raised and the crew was alerted, the robbers jumped overboard and escaped in their boat. The Indian Coast Guard and local police are currently investigating the incident. The ship master and crew are advised to maintain vigilance and strengthen their watch keeping particularly during hours ofdarkness when their ship is at anchor (IMB, ReCAAP).",
2008-283,2008-08-19,"12°45'12""N
47°57'42""E",IX,62,Hijacking,Chemical Tanker,"GULF OF ADEN: Chemical tanker (BUNGA MELATI DUA) hijacked 19 Aug 08, 1730 local time while underway in position 12-45.2N 047-57.7E, 123NM southwest of Mukulla, Yemen. There are 39 crewmembers onboard the vessel, traveling from Indonesia to Rotterdam with a cargo of crude palm oil. No direct contact has been made with the captain of the ship. According to local media reports, a Filipino crewmember was reportedly killed during the hijacking. The event was reported to be an accident. All remaining crewmembers are reportedly safe and the vessel is currently anchored at Eyl. Negotiations are ongoing (Operator, IMB, BBC, AP, UKMTO).",
2008-277,2008-08-15,"5°20'00""N
5°06'00""E",II,57,Unknown,Unknown,"NIGERIA: Nigerian Navy (NN) clash with unidentified gunmen 15 Aug 08, Niger Delta, southern Rivers State. Two naval vessels were on patrol, heading to a base near a Royal Dutch Shell PLC installation when attackers in speedboats fired on their convoy, prompting a counterattack that left 12 assailants dead, according to a navy spokesman. No sailors were reportedly killed during the clash (LM: Aljazeera.net, AP).",
2008-276,2008-08-13,"12°03'00""S
77°09'00""W",XVI,22,Pirates,Unknown Vessel,"PERU: Ship boarded, robbed 13 Aug 08 at 0005 UTC while in position 12-00.8S 077-12.1W, Callao Anchorage. The duty crew noticed robbers boarding the vessel. The alarm was raised and the crew mustered. The robbers overpowered a duty crewmember and tied him up.",
2008-275,2008-08-13,"2°25'00""S
80°01'00""W",XII,22,PIRATES,REFRIGERATED CARGO SHIP,"ECUADOR: Refrigerated cargo ship boarded, robbed 13 Aug 08 at 0130 local time, Outer Anchorage, Guayaquil. Duty watchman onboard the vessel spotted two robbers hiding behind a 40 container. They had stolen the ships stores from the paint locker and lowered them into a waiting boat. As soon as they realized they had been spotted, they jumped into the water and escaped in the waiting boat (IMB).",
2008-296,2008-08-12,"15°17'00""N
61°23'00""W",IV,25,Pirates,Yacht,"DOMINICA: Yacht boarded 12 Aug 08 at 0415 local time while mooring, Roseau. Two perpetrators boarded the vessel. When an audible alarm sounded, one perpetrator jumped off the vessel, while the other attempted to hide in a small inflatable under the yacht. The perpetrator in the inflatable rowed away and picked up the other perpetrator and escaped. No one was hurt and nothing was taken (Operator: Noonsite.com).",
2008-295,2008-08-12,"5°23'00""S
106°13'00""E",XI,71,Pirates,Vehicle Carrier,"INDONESIA: Vehicle carrier boarded, robbed 12 Aug 08 at 0600 local time while at berth, Jakarta car terminal. Robbers boarded the vessel and stole spare parts of considerable value from the spare parts locker. The incident was unnoticed by the ship¿s crew. No Violance or threat of violence was experienced (IMB).",
2008-271,2008-08-12,"13°07'21""N
50°10'45""E",IX,62,Pirates,Cargo Vessel,"GULF OF ADEN: Cargo vessel (THOR STAR) hijacked 12 Aug 08 at 1418 UTC while underway in position 13-07.35N 050-10.75E, 75NM northwest of Caluula. A Yemeni naval official reportedly stated that the ship sent out a distress signal after coming under heavy fire from armed pirates about 100 miles off the Yemen coast. The ship is believed to have been en route from Southeast Asia with a cargo of timber. The vessel has a crew of 28 Thai nationals (Operator, UKMTO, IMB, TW).",
2008-272,2008-08-11,"9°18'00""N
80°15'00""E",VIII,63,N/A,N/A,"SRI LANKA: Sri Lankan Army battle LTTE, casualties, 11 Aug 08 at 1630 local time, Adampankulam area. The Media Centre for National Security (MCNS) stated that the troops monitoring a flotilla of five to six boats of the LTTE had directed artillery attacks towards them. One LTTE boat was reportedly destroyed and three LTTE terrorists killed in the attack. One soldier was reportedly killed from machine-gunfire. There was no immediate word from the LTTE regarding the military claims (LM: sindhtoday.net, Ministry of Defence)",
2008-270,2008-08-09,"15°26'00""N
89°06'00""W",IV,28,PIRATES,SAILBOAT,"GUATEMALA: Sailboat boarded, robbed, US passenger killed 9 Aug 08, in the evening while at anchorage, Lake Izabal. Four perpetrators armed with long machetes, boarded the vessel, possibly swimming from shore. The perpetrators assaulted the couple and demanded the keys to the vessel along with money, specifically USD. The perpetrators killed the US tourist and seriously wounded his wife in the attack. The woman was hospitalized and is being sent back to the United States for medical care (AP).",
2008-266,2008-08-08,"13°11'00""N
49°55'00""E",IX,62,PIRATES,BULK CARRIER,"GULF OF ADEN: Bulk carrier (GEM OF KILAKARAI) fired upon 8 Aug 08 at 0515 UTC (Operator) 0345 UTC (IMB) while underway in position 13-11N 049-55E, 85NM northwest of Caluula. Pirates in two white speedboats, armed with guns and rocket propelled grenade launchers chased and fired small arms. They fired an RPG at the vessel; however, the RPG did not detonate. The master contacted the IMB Piracy Reporting Centre for assistance. The USS PELELIU was reportedly ten miles away when the attack occurred and responded by sending three helicopters to the scene. Upon seeing the warship, the pirate boats moved away. The warship sent a team to dispose of the RPG found on the bridge wing. No reported injuries (Operator, UKMTO, IMB, LM: cargonewsasia.com, military.com).",
2008-284,2008-08-06,"0°10'19""N
117°36'12""E",XI,72,Pirates,LPG Tanker,"INDONESIA: LPG tanker boarded, robbed 6 Aug 08 at 0400 local time while in position 00-10-19N 117-36-12E: Bontang Anchorage. The duty crew onboard the vessel spotted robbers stealing the ship¿s equipment. The alarm was raised and the crew alerted. Alertness, the robber escaped into a waiting boat. (IMB).",
2008-274,2008-08-06,"3°47'00""N
98°41'00""E",XI,71,PIRATES,PRODUCT TANKER,"INDONESIA: Product tanker boarded 06 Aug 08 at 2330 local time, Belawan port. Robbers boarded the vessel while at anchorage by climbing the anchor chain. They opened the forecastle store and attempted to steal ship¿s stores. The duty crew noticed them and the alarm was raised. The alert crew mustered as per company procedures. Sensing the crew alertness, the robbers jumped overboard and escaped. No injuries to crew reported and nothing was stolen (IMB).",
2008-264,2008-08-06,"4°46'00""N
7°01'00""E",II,57,UNKNOWN,UNKNOWN,"NIGERIA: Nigerian Navy (NN) engages in gun battle with militants 6 Aug 08 Cawthorne Channel, 10NM off Port Harcourt. The NN shot dead an unspecified number of militants and destroyed two boats in an encounter. A naval patrol vessel was on routine patrol when it was fired upon by occupants of three speedboats according to navy spokesman, LT Way Oblabisi. The naval gunboats in self defense engaged the militants in a gun battle, killing some militants. Two militant boats were destroyed, while the third vessel was seized, which carried a machine gun with a large quantity of ammunition (LM: Bloomberg).",
2008-265,2008-08-04,"11°16'00""N
49°12'00""E",VIII,62,PIRATES,TUG BOAT,"SOMALIA: Tug (YENAGOA OCEAN) hijacked 4 Aug 08, 0500 local time, near Bosasso. The vessel traveled to an unknown destination.  Pirates are reportedly demanding 1 million USD. The vessel had a crew of nine Nigerians (Operator, IMB, LM: thisday.com).",
2008-273,2008-08-02,"7°60'00""N
80°00'00""E",VIII,63,N/A,N/A,"SRI LANKA: Sri Lankan Navy raids LTTE camp 2 Aug 08, evening, Iranathivu Island. Sri Lanka Navy's Rapid Action Boats Squadron (RABS) and Special Boats Squadron (SBS) destroyed an LTTE make-shift camp, destroying one LTTE boat, killing four LTTE cadres and capturing two LTTE boats. Naval troops upon observing the LTTE boats and cadre movements, immediately engaged the enemy and their craft. Simultaneously, naval craft engaged a cluster of LTTE boats hovering closer to the Nachchikudah beach and inflicted heavy damages to the enemy. Meanwhile, the Navy's elite SBS personnel made a swift landing on the Iranathivu Island and secured the area by carrying out a special search operation. A stretcher, a haul of medical items, two cans full of fuel, and a tent were recovered by the naval personnel. A cleared building at the location bears the signs of having being recently used by the LTTE cadres. Two dinghies were found abandoned near the building and they are reported to have been used by the LTTE cadres to extort money from the local fishermen as ""taxes"" on their fish catch (LM: defence.lk).",
2008-267,2008-08-02,"9°45'00""N
79°45'00""E",VIII,63,UNKNOWN,UNKNOWN,"SRI LANKA: Sri Lankan Navy raids LTTE camp 2 Aug 08, evening, Iranathivu Island. Sri Lanka Navy's Rapid Action Boats Squadron (RABS) and Special Boats Squadron (SBS) destroyed an LTTE make-shift camp, destroying one LTTE boat, killing four LTTE cadres and capturing two LTTE boats. Naval troops upon observing the LTTE boats and cadre movements, immediately engaged the enemy and their craft. Simultaneously, naval craft engaged a cluster of LTTE boats hovering closer to the Nachchikudah beach and inflicted heavy damages to the enemy. Meanwhile, the Navy's elite SBS personnel made a swift landing on the Iranathivu Island and secured the area by carrying out a special search operation. A stretcher, a haul of medical items, two cans full of fuel, and a tent were recovered by the naval personnel. A cleared building at the location bears the signs of having being recently used by the LTTE cadres. Two dinghies were found abandoned near the building and they are reported to have been used by the LTTE cadres to extort money from the local fishermen as ""taxes"" on their fish catch (LM: defence.lk).",
2008-268,2008-07-31,"10°16'22""N
107°02'51""E",XI,93,PIRATES,CHEMICAL TANKER,"VIETNAM: Chemical tanker boarded, robbed 31 Jul 08 at 2015 local time while in position 10-16.36N 107-02.85E, Vung Tau Anchorage. Robbers boarded the vessel. The D/O raised the alarm and the crew rushed to the forecastle. Upon seeing the crew alertness, the robbers jumped overboard and escaped with ship's stores in a small boat (IMB).",
2008-263,2008-07-28,"10°57'00""N
63°51'00""W",IV,24,PIRATES,YACHT,"VENEZUELA: Yacht (MUSTANG SALLY) witnessed altercation, perpetrators arrested 28 Jul 08 during mid-afternoon, Porlamar. Three armed men entered the marina on foot while the driver waited out front. The police noticed the three walking down the dock and ordered them to stop. One man shot at the police who then opened fire, shooting 5 shots in return. One perpetrator was shot in the stomach, and one jumped in the water. One perpetrator walked off the dock with his hands on his head and a police pistol pointing at the back of his head. The driver sped off.  Six shots in total were fired (Operator: noonsite.com).",
2008-261,2008-07-26,"3°55'00""N
98°46'00""E",XI,71,Pirates,Chemical Tanker,"INDONESIA: Chemical tanker boarded 26 Jul 08, at 0330 local time, at Belawan Anchorage. Three to four robbers boarded an anchored chemical tanker, via the anchor cable. Upon seeing the robbers, the master raised the alarm. Seeing the alert crew, the robbers jumped overboard and escaped in an unlit boat. Port authority was informed (IMB).",
2008-258,2008-07-26,"4°27'00""N
7°10'00""E",II,57,Pirates,Tanker,"NIGERIA: Tanker (BERGER SISAR) hijacked 26 Jul 2008, Bonny River. According to a military spokesman, around six armed militants attacked the tanker, shooting two civilians and abducting eight crewmembers. The two civilians were wounded, but did not die in the attack. Two days later on 28 July, all eight crewmembers were released, unharmed (REUTERS, LM: Sea News, Russia).",
2008-269,2008-07-25,"10°27'00""N
106°44'00""E",XI,93,PIRATES,BULK CARRIER,"VIETNAM: Bulk carrier boarded, robbed 25 Jul 08 at 2130 local time, Go Dau. Two robbers armed with long knives boarded the vessel. They broke open the padlocks to the forward store. The duty crew noticed the open stores and raised the alarm, the robbers escaped in a waiting boat.",
2008-257,2008-07-25,"4°27'00""N
7°10'00""E",II,57,Pirates,Tugboat,"NIGERIA: Tugboat (HERKULES) hijacked 25 Jul 2008, Bonny River. The vessel was sailing to Akpo Oil Field when armed gunmen in speedboats seized the vessel and its 12-man crew. According to local reports, upon taking control of the vessel, the gunmen steered it toward  Sombereiro River, approximately 15 miles west of the Bonny River. The gunmen later released the vessel along with seven of the crewmembers, but kept the remaining five as hostages. Crewmembers were reportedly robbed of their possessions. The remaining hostages were eventually released (LM: Russia Today, The Moscow Times)",
2008-256,2008-07-23,"28°08'00""N
15°25'00""W",II,51,Pirates,Personal Craft,"CANARY ISLANDS: Personal craft boarded, robbed 23 Jul 08, at Pontoon 17, Muelle Deportivo de Las Palmas.  Personal craft was docked wide open at the head of pontoon number 17 with lock on the gate.  Burglars boarded vessel at night while owners slept, stealing personal belongings and various equipment.  Marina staff was very cooperative and report was filed with local police (Operator: noonsite.com).",
2008-262,2008-07-22,"14°33'00""N
120°55'00""E",XI,91,Pirates,Container Vessel,"PHILIPPINES: Container ship boarded, robbed 22 Jul 08,while anchored at position 14-33N 120-55E, Manila Outer Anchorage. Twelve robbers armed with knives boarded a container ship at anchor.  They stole ship¿s stores and property and escaped. The crew was unable to stop them. No injuries to the crew were reported. The master reported to VTMS Manila and the coast guard but received no response (IMB).",
2008-253,2008-07-22,"8°15'00""N
79°45'00""E",VIII,63,Unknown,Unknown,"SRI LANKA: Sri Lankan Navy attacks LTTE boats 22 Jul 08 at 0130 local time, Pulmoddai. An LTTE boat was destroyed and two more were heavily damaged when the Sri Lanka Navy¿s Fast Attack Craft (FAC) engaged a cluster of LTTE boats detected. According to the naval sources, five LTTE speedboats were heading towards Pulmoddai from Nayaru and the sea battle erupted when the LTTE boat cluster was detected by the naval FACs. No damage to naval craft or sailors, according to naval sources (LM: Sri Lanka Ministry of Defence).",
2008-254,2008-07-20,"3°55'00""N
98°46'00""E",XI,71,Pirates,Bulk Carrier,"INDONESIA: Bulk carrier boarded, 20 Jul 08 at 0155 local time, 1NM from buoy no. 2, Belawan Anchorage. The duty watchman onboard the vessel noticed robbers trying to open the watertight door to the forecastle store. He immediately reported to the OOW who in turn raised the alarm and crew mustered. Upon seeing crew alertness, the robbers jumped overboard empty handed and escaped in a waiting boat with one accomplice (IMB).",
2008-248,2008-07-20,"13°16'00""N
50°02'00""E",IX,62,Pirate Hijacking,Bulk Carrier,"GULF OF ADEN: Bulk carrier (STELLA MARIS) hijacked 20 Jul 08 at 0430 local time/0011 UTC while underway in position 13:16N-050:02E, approximately 87NM northwest of Caluula, Somalia. The vessel was enroute Suez when UKMTO Dubai was alerted via INMARSAT that pirates were onboard, repeated three times before the line went dead. No returned calls were answered. The ships operators were alerted and at the same time a SSAS message was received by the operators and forwarded to UKMTO. According to Puntland  presidential advisor Bile Mohamoud Qabowsade, there were 38 heavily armed pirates that stormed the ship while sailing in international waters. Hared Ise Umar, the District Commissioner of Caluula, stated that the hijackers sailed the vessel close to Caluula and indicated he expected the vessel to sail to Eyl (Operator, UKMTO, IMB, AFP, LM:hornafrik.com).",
2008-260,2008-07-19,"6°39'00""S
39°25'00""E",VIII,61,Pirates,Container Ship,"TANZANIA: Container ship boarded 19 Jul 2008, while drifting at position 06-39S 039-25E, Dar es Salaam roads. The duty watchman onboard noticed a robber on the forecastle deck. The alarm was raised and ship's whistle sounded. The robber escaped. A ten-meter long orange boat with five people in it was noticed slowly moving away from the vessel. Port control was informed. No stores were stolen (IMB).",
